GKA,MAG,106833.44364739217
GKA,HGU,124620.49125524164
GKA,LAE,157277.49480085305
GKA,CMU,47040.787368060664
GKA,WBM,172806.58680704885
MAG,CMU,128406.49830289914
HGU,CMU,77904.4486034401
HGU,MDU,79255.68396421357
HGU,MXH,131461.11455661946
HGU,TIZ,149295.47402010227
HGU,WBM,48887.438024452844
POM,PNP,139225.6867018539
UAK,LLU,77872.6777929457
UAK,JJU,59314.979697859715
UAK,JNN,113879.64053598222
UAK,JNS,43596.09037047309
GOH,JSU,148539.49916570564
SFJ,JHS,131518.19028598847
THU,NAQ,107947.5322921234
AEY,EGS,174741.38457730145
AEY,HZK,43922.21195343166
AEY,SIJ,65176.504750991364
AEY,GRY,98638.03014622786
AEY,THO,138897.9776720529
AEY,VPN,147796.0956005946
AEY,MVA,52979.11356673724
AEY,GJR,152942.03587156226
AEY,SAK,69190.04526498247
EGS,HFN,116712.15631985998
EGS,HZK,157666.89214720618
EGS,THO,112523.45016940414
EGS,VPN,52911.14235737046
EGS,MVA,123475.10125034663
EGS,NOR,34912.732170557
HFN,VPN,159614.76540795626
HFN,MVA,171060.99772168498
HFN,NOR,116717.80634301312
HZK,SIJ,70328.22028320475
HZK,GRY,71187.83324678244
HZK,THO,98871.03471878218
HZK,VPN,120147.2154774766
HZK,MVA,40328.52247339266
HZK,SAK,100834.21298847772
IFJ,PFJ,67520.87300831053
IFJ,BIU,50029.79579096445
IFJ,GJR,82089.77151561632
IFJ,SAK,165967.10634086927
KEF,RKV,36184.05525705426
KEF,VEY,130607.08044254946
PFJ,BIU,21483.34966645834
PFJ,GJR,130038.25413151563
RKV,VEY,113360.22572234686
SIJ,GRY,61015.25396632483
SIJ,THO,161282.14216207303
SIJ,MVA,105264.57732776289
SIJ,GJR,109924.83655432129
SIJ,SAK,53719.21241915216
YAM,YLD,172716.65576453827
YAM,YZE,163848.72078962348
YAM,APN,173078.8532310992
YAM,CIU,26225.44785322959
YAM,PLN,104151.65426747275
YAM,CVX,144140.7453361086
YAM,YXZ,166268.67401175396
YAM,DRM,79226.9437920944
YAM,ERY,75298.41952630936
YAM,YEL,150228.28717640377
YAV,YPG,90482.2237794382
YAV,YWG,22045.10407642578
YAV,PMB,124909.65745740737
YAV,YGM,63646.09083395945
YAW,YHZ,26848.583233759444
YAW,YZX,118335.49193781459
YAY,YWM,132390.56450373927
YAY,YFX,112754.97186318185
YAY,YHA,127245.282413669
YAY,YBX,76733.40713120934
YAY,YMH,102690.25816663222
YAZ,YBL,103586.6313264134
YAZ,YCD,139014.3241597027
YAZ,YQQ,95277.65854071206
YAZ,YGB,113934.63583495737
YAZ,YPW,124782.08886019279
YAZ,ZNA,133468.54649985174
YAZ,YGG,168398.71443998013
YBC,YYY,58320.80796068584
YBC,YXK,75938.38513521748
YBC,YME,62855.63731855656
YBG,YQB,173949.92460641597
YBG,YRI,122510.55523621164
YBG,YRJ,96097.66755399974
YBG,YTF,51654.358262910166
YBG,YDO,113154.28410249892
YBG,YML,99876.50494016596
YBL,YCD,142138.42615264736
YBL,YQQ,38393.99137150808
YBL,YVR,172610.81273272028
YBL,YZT,169691.9489391264
YBL,YWS,167362.24240405558
YBL,YGB,61159.92631979167
YBL,CXH,172046.73992784318
YBL,YPW,56795.061895480685
YBL,ZNA,128041.75765864066
YBL,YSE,152489.62723310027
YBL,YAL,136530.19568557167
YBR,YDN,132748.49639211767
YBR,YPG,120307.83487691036
YBR,YVD,69370.65640470879
YCD,YCW,141137.38760054007
YCD,YQQ,103744.4738372471
YCD,YVR,52303.49905688951
YCD,YXX,110154.36918828338
YCD,YYJ,55862.3572202445
YCD,NOW,107081.54823142134
YCD,NUW,118656.1260052916
YCD,BLI,101693.29399144834
YCD,PAE,173426.08849464313
YCD,YWH,78517.27789731829
YCD,YWS,138200.98002820197
YCD,YGB,85266.16218032954
YCD,CXH,61321.5509400597
YCD,YPW,98001.98362305643
YCD,CLM,107562.66216136632
YCD,LPS,93357.16958018589
YCD,FRD,85839.73395419394
YCD,ESD,80171.51350134193
YCD,ZNA,15432.599798273812
YCD,YGG,35231.8174719356
YCD,YDT,62606.467128204575
YCD,YBW,57656.58142030899
YCD,AWO,160517.96560974637
YCD,YSE,95771.43805636516
YCG,YLW,145749.83144025333
YCG,YXC,138370.50622240646
YCG,YYF,143969.45559251966
YCG,YZZ,26857.8347766873
YCG,YVE,161682.50428839642
YCG,ZGF,66035.66912098219
YCH,YCL,127924.70690934341
YCH,YFC,151785.73657962048
YCH,YQM,115837.96283909534
YCH,YSU,138511.86203692164
YCH,ZBF,72599.21594166044
YCH,YVB,118368.65259400493
YCL,YGP,162376.36736714205
YCL,YYY,155128.90348094612
YCL,ZBF,59754.73173346114
YCL,YVB,65378.81843284365
YCL,WFK,168150.80373407333
YCL,YXK,169553.7938798916
YCL,YME,127189.62934550285
YCL,YSL,146178.1733587453
YCT,YKY,167760.26435144807
YCT,YLL,165659.233926637
YCT,YQF,167776.58845789632
YCT,YVG,148599.13431285234
YCW,YDC,109418.51508665331
YCW,YVR,90722.20776578922
YCW,YXX,33880.499547039624
YCW,YYF,173092.65016992672
YCW,YYJ,122523.24850936003
YCW,NOW,156334.71513011487
YCW,NUW,103536.4346075393
YCW,BLI,59344.676910156006
YCW,PAE,141044.51372468905
YCW,YWH,133679.66937659474
YCW,YWS,132150.4478977863
YCW,CXH,86653.29965470033
YCW,CLM,162473.13736112646
YCW,LPS,104432.24744750584
YCW,FRD,106068.23416027483
YCW,ESD,86557.67915313711
YCW,ZNA,146406.11458022424
